bus2,bus3,bus4
1108.027079,1112.238806,1184.287512
1131.050176,1118.059701,1161.426549
1143.696666,1123.432836,1172.632903
1153.100466,1131.044776,1183.391003
1165.746956,1136.41791,1191.011324
1173.205143,1143.134328,1204.010695
1182.933212,1148.059701,1212.07927
1192.337012,1153.880597,1223.733879
1201.092274,1165.970149,1236.284995
1203.037888,1172.238806,1249.284366
1213.414495,1179.402985,1262.283737
1216.657185,1182.537313,1276.62787
1226.385254,1192.38806,1295.454545
1231.573558,1205.373134,1300.833595
1237.734668,1214.776119,1312.488204
1242.274434,1222.38806,1329.970116
1249.408351,1226.41791,1341.624725
1243.247241,1230,1349.245046
1239.031744,1235.820896,1360.003146
1239.680282,1239.850746,1369.864737
1240.004551,1240.746269,1378.829821
1238.383206,1241.19403,1385.105379
1238.383206,1239.850746,1391.380937
1234.816248,1238.059701,1400.346021
1233.843441,1236.268657,1405.725071
1228.655137,1228.208955,1412.448883
1229.952213,1225.522388,1421.862221
1226.385254,1225.970149,1428.137779
1217.954261,1226.41791,1435.7581
1211.468882,1227.313433,1438.895879
1207.253385,1225.074627,1448.757471
1196.22824,1224.626866,1455.929538
1188.770053,1220.597015,1464.894621
1183.906019,1214.328358,1474.756213
1178.717715,1208.059701,1477.893992
1172.556605,1199.552239,1482.376534
1166.719763,1195.074627,1486.859075
1157.964501,1200,1515.547342
1156.018887,1196.41791,1522.719409
1151.479122,1197.761194,1529.891475
1145.64228,1200.447761,1540.201321
1139.48117,1202.238806,1543.787355
1135.914211,1203.58209,1553.200692
1130.077369,1205.373134,1561.717521
1126.83468,1207.61194,1572.027367
1121.646376,1206.268657,1576.958163
1115.809535,1200.895522,1587.268009
1113.539652,1199.552239,1587.716263
1109.324155,1201.343284,1596.233092
1109.972693,1204.029851,1611.473734
1101.217431,1207.164179,1616.40453
1097.650472,1207.164179,1616.40453
1095.704858,1204.925373,1622.680088
1093.434976,1204.925373,1626.714376
1090.840824,1209.850746,1628.059138
1085.976789,1213.880597,1633.438188
