DateTime,values,bus2,bus3,bus4
2020-01-01T00:12:12.0,673.845,673.845,673.845,673.845
2020-01-01T00:12:18.0,674.735,674.735,674.735,674.735
2020-01-01T00:12:24.0,673.9375,673.9375,673.9375,673.9375
2020-01-01T00:12:30.0,674.89,674.89,674.89,674.89
2020-01-01T00:12:36.0,677.235,677.235,677.235,677.235
2020-01-01T00:12:42.0,675.375,675.375,675.375,675.375
2020-01-01T00:12:48.0,676.3125,676.3125,676.3125,676.3125
2020-01-01T00:12:54.0,676.3275,676.3275,676.3275,676.3275
2020-01-01T00:13:00.0,675.235,675.235,675.235,675.235
2020-01-01T00:13:06.0,674.5625,674.5625,674.5625,674.5625
2020-01-01T00:13:12.0,674.25,674.25,674.25,674.25
2020-01-01T00:13:18.0,675.5625,675.5625,675.5625,675.5625
2020-01-01T00:13:24.0,675.4075,675.4075,675.4075,675.4075
2020-01-01T00:13:30.0,675.625,675.625,675.625,675.625
2020-01-01T00:13:36.0,675.485,675.485,675.485,675.485
2020-01-01T00:13:42.0,676.4375,676.4375,676.4375,676.4375
2020-01-01T00:13:48.0,677.2975,677.2975,677.2975,677.2975
2020-01-01T00:13:54.0,676.265,676.265,676.265,676.265
2020-01-01T00:14:00.0,676.735,676.735,676.735,676.735
2020-01-01T00:14:06.0,676.72,676.72,676.72,676.72
2020-01-01T00:14:12.0,675.39,675.39,675.39,675.39
2020-01-01T00:14:18.0,674.765,674.765,674.765,674.765
2020-01-01T00:14:24.0,675.75,675.75,675.75,675.75
2020-01-01T00:14:30.0,675.75,675.75,675.75,675.75
2020-01-01T00:14:36.0,675.0625,675.0625,675.0625,675.0625
2020-01-01T00:14:42.0,675.9525,675.9525,675.9525,675.9525
2020-01-01T00:14:48.0,675.5,675.5,675.5,675.5
2020-01-01T00:14:54.0,676.235,676.235,676.235,676.235
2020-01-01T00:15:00.0,674.625,674.625,674.625,674.625
2020-01-01T00:15:06.0,674.595,674.595,674.595,674.595
2020-01-01T00:15:12.0,676.86,676.86,676.86,676.86
2020-01-01T00:15:18.0,674.735,674.735,674.735,674.735
2020-01-01T00:15:24.0,673.89,673.89,673.89,673.89
2020-01-01T00:15:30.0,674.86,674.86,674.86,674.86
2020-01-01T00:15:36.0,674.4525,674.4525,674.4525,674.4525
2020-01-01T00:15:42.0,674.625,674.625,674.625,674.625
2020-01-01T00:15:48.0,675.4225,675.4225,675.4225,675.4225
2020-01-01T00:15:54.0,674.1725,674.1725,674.1725,674.1725
2020-01-01T00:16:00.0,674.11,674.11,674.11,674.11
2020-01-01T00:16:06.0,675.5775,675.5775,675.5775,675.5775
